time_years,nuclei_count,fraction_remaining,activity,ln_atoms
33.6,1,0.01,-0.0,0.0
33.7,1,0.01,-0.0,0.0
33.800000000000004,1,0.01,-0.0,0.0
33.9,1,0.01,-0.0,0.0
34.0,1,0.01,-0.0,0.0
34.1,1,0.01,-0.0,0.0
34.2,1,0.01,-0.0,0.0
34.300000000000004,1,0.01,-0.0,0.0
34.4,1,0.01,-0.0,0.0
34.5,1,0.01,-0.0,0.0
34.6,1,0.01,-0.0,0.0
34.7,1,0.01,-0.0,0.0
34.800000000000004,1,0.01,-0.0,0.0
34.9,1,0.01,-0.0,0.0
35.0,1,0.01,-0.0,0.0
35.1,1,0.01,-0.0,0.0
35.2,1,0.01,-0.0,0.0
35.300000000000004,1,0.01,-0.0,0.0
35.4,1,0.01,-0.0,0.0
35.5,1,0.01,-0.0,0.0
35.6,1,0.01,-0.0,0.0
35.7,1,0.01,-0.0,0.0
35.800000000000004,1,0.01,-0.0,0.0
35.9,1,0.01,-0.0,0.0
36.0,1,0.01,-0.0,0.0
36.1,1,0.01,-0.0,0.0
36.2,1,0.01,-0.0,0.0
36.3,1,0.01,-0.0,0.0
36.4,1,0.01,-0.0,0.0
36.5,1,0.01,-0.0,0.0
36.6,1,0.01,-0.0,0.0
36.7,1,0.01,-0.0,0.0
36.8,1,0.01,-0.0,0.0
36.9,1,0.01,-0.0,0.0
37.0,1,0.01,-0.0,0.0
37.1,1,0.01,-0.0,0.0
37.2,1,0.01,-0.0,0.0
37.3,1,0.01,-0.0,0.0
37.4,1,0.01,-0.0,0.0
37.5,1,0.01,-0.0,0.0
37.6,1,0.01,-0.0,0.0
37.7,1,0.01,-0.0,0.0
37.8,1,0.01,-0.0,0.0
37.9,1,0.01,-0.0,0.0
38.0,1,0.01,-0.0,0.0
38.1,1,0.01,-0.0,0.0
38.2,1,0.01,-0.0,0.0
38.3,1,0.01,-0.0,0.0
38.400000000000006,1,0.01,-0.0,0.0
38.5,1,0.01,-0.0,0.0
38.6,1,0.01,-0.0,0.0
38.7,1,0.01,-0.0,0.0
38.8,1,0.01,-0.0,0.0
38.900000000000006,1,0.01,-0.0,0.0
39.0,1,0.01,-0.0,0.0
39.1,1,0.01,-0.0,0.0
39.2,1,0.01,-0.0,0.0
39.3,1,0.01,-0.0,0.0
39.400000000000006,1,0.01,-0.0,0.0
39.5,1,0.01,-0.0,0.0
39.6,1,0.01,-0.0,0.0
39.7,1,0.01,-0.0,0.0
39.8,1,0.01,-0.0,0.0
39.900000000000006,1,0.01,-0.0,0.0
